411,113.8611,1068.6182,13.3395,177.1330,116,1 ;
429,159.5199,1185.1160,14.7324,85.5769,1,2 ;
411,612.4678,1694.4126,6.7192,302.5539,75,1 ;
522,661.7609,1720.9894,6.5641,19.1231,6,25 ;
522,660.0554,1719.1187,6.5642,12.7699,8,82 ;
567,711.4207,1947.5208,5.4056,179.3810,90,96 ;
567,1031.8435,1920.3726,11.3369,89.4978,97,96 ;
567,1112.3754,1747.8737,10.6923,270.9278,102,114 ;
567,1641.6802,1299.2113,10.6869,271.4891,97,96 ;
567,2135.8757,1408.4512,10.6867,180.4562,90,96 ;
567,2262.2639,1469.2202,14.9177,91.1919,99,81 ;
567,2461.7380,1345.5385,10.6975,0.9317,114,1 ;
567,2804.4365,1332.5348,10.6283,271.7682,88,64 ;
560,2805.1685,1361.4004,10.4548,270.2340,17,1 ;
506,2853.5378,1361.4677,10.5149,269.6648,7,7 ;
567,2633.9832,2205.7061,10.6868,180.0076,93,64 ;
567,2119.9751,2049.3127,10.5423,180.1963,93,64 ;
567,2785.0261,-1835.0374,9.6874,226.9852,93,64 ;
567,2787.8975,-1876.2583,9.6966,0.5804,99,81 ;
411,2771.2993,-1841.5620,9.4870,20.7678,116,1 ;
420,1713.9319,1467.8354,10.5219,342.8006,6,1 ; taxi
