422,9.1065,1165.5066,19.5855,2.1281,101,25 ;
463,19.8059,1163.7103,19.1504,346.3326,11,11 ;
463,12.5740,1232.2848,18.8822,121.8670,22,22 ;
434,-110.8473,1133.7113,19.7091,359.7000,2,2 ;hotknife
586,69.4633,1217.0189,18.3304,158.9345,10,1 ;
586,-199.4185,1223.0405,19.2624,176.7001,25,1 ;
605,-340.2598,1177.4846,19.5565,182.6176,43,8 ; SMASHED UP CAR
476,325.4121,2538.5999,17.5184,181.2964,71,77 ;
476,291.0975,2540.0410,17.5276,182.7206,7,6 ;
576,384.2365,2602.1763,16.0926,192.4858,72,1 ;
586,423.8012,2541.6870,15.9708,338.2426,10,1 ;
586,-244.0047,2724.5439,62.2077,51.5825,10,1 ;
586,-311.1414,2659.4329,62.4513,310.9601,27,1 ;
406,547.4633,843.0204,-39.8406,285.2948,1,1 ; DUMPER
406,625.1979,828.9873,-41.4497,71.3360,1,1 ; DUMPER
486,680.7997,919.0510,-40.4735,105.9145,1,1 ; DOZER
486,674.3994,927.7518,-40.6087,128.6116,1,1 ; DOZER
543,596.8064,866.2578,-43.2617,186.8359,67,8 ;
543,835.0838,836.8370,11.8739,14.8920,8,90 ;
549,843.1893,838.8093,12.5177,18.2348,79,39 ;
605,319.3803,740.2404,6.7814,271.2593,8,90 ; SMASHED UP CAR
400,-235.9767,1045.8623,19.8158,180.0806,75,1 ;
599,-211.5940,998.9857,19.8437,265.4935,0,1 ;
422,-304.0620,1024.1111,19.5714,94.1812,96,25 ;
588,-290.2229,1317.0276,54.1871,81.7529,1,1 ;
424,-330.2399,1514.3022,75.1388,179.1514,2,2 ;BF INJECT
451,-290.3145,1567.1534,75.0654,133.1694,61,61 ;
470,280.4914,1945.6143,17.6317,310.3278,43,0 ;
470,272.2862,1949.4713,17.6367,285.9714,43,0 ;
470,271.6122,1961.2386,17.6373,251.9081,43,0 ;
470,279.8705,1966.2362,17.6436,228.4709,43,0 ;
548,292.2317,1923.6440,19.2898,235.3379,1,1 ; CARGOBOB
433,277.6437,1985.7559,18.0772,270.4079,43,0 ;
433,277.4477,1994.8329,18.0773,267.7378,43,0 ;
432,275.9634,2024.3629,17.6516,270.6823,43,0 ; Tank (can cause scary shit to go down)
568,-441.3438,2215.7026,42.2489,191.7953,41,29 ;
568,-422.2956,2225.2612,42.2465,0.0616,41,29 ;
568,-371.7973,2234.5527,42.3497,285.9481,41,29 ;
568,-360.1159,2203.4272,42.3039,113.6446,41,29 ;
468,-660.7385,2315.2642,138.3866,358.7643,6,6 ;
460,-1029.2648,2237.2217,42.2679,260.5732,1,3 ;
419,95.0568,1056.5530,13.4068,192.1461,13,76 ;
429,114.7416,1048.3517,13.2890,174.9752,1,2 ;
466,124.2480,1075.1835,13.3512,174.5334,78,76 ; exceeds model limit
411,-290.0065,1759.4958,42.4154,89.7571,116,1 ;
522,-302.5649,1777.7349,42.2514,238.5039,6,25 ;
522,-302.9650,1776.1152,42.2588,239.9874,8,82 ;
533,-301.0404,1750.8517,42.3966,268.7585,75,1 ;
535,-866.1774,1557.2700,23.8319,269.3263,31,1 ;
550,-799.3062,1518.1556,26.7488,88.5295,53,53 ;
521,-749.9730,1589.8435,26.5311,125.6508,92,3 ;
522,-867.8612,1544.5282,22.5419,296.0923,3,3 ;
554,-904.2978,1553.8269,25.9229,266.6985,34,30 ;
521,-944.2642,1424.1603,29.6783,148.5582,92,3 ;
