560,2133.0769,1019.2366,10.5259,90.5265,9,39 ;
560,2142.4023,1408.5675,10.5258,0.3660,17,1 ;
560,2196.3340,1856.8469,10.5257,179.8070,21,1 ;
560,2103.4146,2069.1514,10.5249,270.1451,33,0 ;
560,2361.8042,2210.9951,10.3848,178.7366,37,0 ;
560,-1993.2465,241.5329,34.8774,310.0117,41,29 ;
559,-1989.3235,270.1447,34.8321,88.6822,58,8 ;
559,-1946.2416,273.2482,35.1302,126.4200,60,1 ;
558,-1956.8257,271.4941,35.0984,71.7499,24,1 ;
562,-1952.8894,258.8604,40.7082,51.7172,17,1 ;
411,-1949.8689,266.5759,40.7776,216.4882,112,1 ;
429,-1988.0347,305.4242,34.8553,87.0725,2,1 ;
559,-1657.6660,1213.6195,6.9062,282.6953,13,8 ;
560,-1658.3722,1213.2236,13.3806,37.9052,52,39 ;
558,-1660.8994,1210.7589,20.7875,317.6098,36,1 ;
550,-1645.2401,1303.9883,6.8482,133.6013,7,7 ;
460,-1333.1960,903.7660,1.5568,0.5095,46,32 ;
