429,-237.7157,2594.8804,62.3828,178.6802,1,2 ;
431,-160.5815,2693.7185,62.2031,89.4133,47,74 ;
463,-196.3012,2774.4395,61.4775,303.8402,22,22 ;
483,-204.1827,2608.7368,62.6956,179.9914,1,5 ;
490,-295.4756,2674.9141,62.7434,359.3378,0,0 ;
500,-301.5293,2687.6013,62.7723,87.9509,28,119 ;
500,-301.6699,2680.3293,62.7393,89.7925,13,119 ;
519,-1341.1079,-254.3787,15.0701,321.6338,1,1 ;
519,-1371.1775,-232.3967,15.0676,315.6091,1,1 ;
552,-1396.2028,-196.8298,13.8434,286.2720,56,56 ;
552,-1312.4509,-284.4692,13.8417,354.3546,56,56 ;
552,-1393.5995,-521.0770,13.8441,187.1324,56,56 ;
513,-1355.6632,-488.9562,14.7157,191.2547,48,18 ;
513,-1374.4580,-499.1462,14.7482,220.4057,54,34 ;
553,-1197.8773,-489.6715,15.4841,0.4029,91,87 ;
553,1852.9989,-2385.4009,14.8827,200.0707,102,119 ;
583,1879.9594,-2349.1919,13.0875,11.0992,1,1 ;
583,1620.9697,-2431.0752,13.0951,126.3341,1,1 ;
583,1545.1564,-2409.2114,13.0953,23.5581,1,1 ;
583,1656.3702,-2651.7913,13.0874,352.7619,1,1 ;
519,1642.9850,-2425.2063,14.4744,159.8745,1,1 ;
519,1734.1311,-2426.7563,14.4734,172.2036,1,1 ;
415,-680.9882,955.4495,11.9032,84.2754,36,1 ;
460,-816.3951,2222.7375,43.0045,268.1861,1,3 ;
460,-94.6885,455.4018,1.5719,250.5473,1,3 ;
460,1624.5901,565.8568,1.7817,200.5292,1,3 ;
460,1639.3567,572.2720,1.5311,206.6160,1,3 ;
460,2293.4219,517.5514,1.7537,270.7889,1,3 ;
460,2354.4690,518.5284,1.7450,270.2214,1,3 ;
460,772.4293,2912.5579,1.0753,69.6706,1,3 ;
562,1919.8829,947.1886,10.4715,359.4453,11,1 ;
562,1881.6346,1006.7653,10.4783,86.9967,11,1 ;
562,2038.1044,1006.4022,10.4040,179.2641,11,1 ;
562,2038.1614,1014.8566,10.4057,179.8665,11,1 ;
562,2038.0966,1026.7987,10.4040,180.6107,11,1 ;
